Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
GreenLife Hydropower Limited,2025/26 Q3,257.40,269.36,0.40,2.14%,3.42%,-3.27%,3.17%,-5.28%,"4,633,200,000.00","1,800,000.00","204,456.00",0.00,0.00,"29,411.07",0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.96%,2.12%,2.37%,0.39%,0.42%,0.48%,2.17,2.35,2.61,2.17,111.35,118.14,118.14,109.20,98.46,2.31,870.34%,1.03%,93.03%,501.39%,1.41,1.23,-2.29%,-3.25%,-15.11%,-20.95%,4.51%,-0.14%,-3221.43%,30.81%,51.98,-1.06%,-2.29%,-20.01%,0.72
Mahila Lagubitta Bittiya Sanstha Limited,2025/26 Q3,"1,600.00","1,808.11",-35.00,-5.33%,-7.51%,-11.10%,-18.16%,-31.51%,"3,481,000,000.00","217,562.50","311,957.10","538,363.16","284,131.29","55,061.51",0.00,60.65%,58.93%,0.00%,13.19%,9.23%,44.86%,49.61%,0.00%,7.41%,5.18%,13.46%,14.00%,6.01%,1.27%,1.32%,0.57%,33.74,35.10,14.91,33.74,243.38,47.41,47.41,45.57,107.28,6.57,18.06%,6.65%,90.84%,1091.17%,0.69,0.59,-1.58%,-2.24%,-10.06%,-14.11%,2.74%,-0.73%,-375.34%,95.82%,35.28,-7.90%,-7.72%,-31.51%,-10.65
Singati Hydro Energy Limited,2025/26 Q3,306.90,312.53,1.90,0.62%,4.49%,-0.68%,12.54%,4.71%,"8,900,100,000.00","3,045,000.00","48,046.03","578,684.43","566,696.50","204,713.09",0.00,98.00%,10.73%,87.27%,50.56%,6.27%,97.53%,9.59%,88.57%,61.28%,30.85%,8.16%,0.93%,6.77%,4.56%,0.52%,3.59%,8.96,1.02,7.23,8.96,109.82,34.23,34.23,299.98,42.40,2.79,251.21%,52.58%,52.23%,178.26%,1.35,1.49,-2.09%,-2.98%,-17.51%,-24.96%,3.80%,0.05%,7600.00%,44.04%,52.18,1.41%,2.71%,-13.33%,0.17
Ru Ru Jalbidhyut Pariyojana Limited,2025/26 Q3,612.10,653.23,-2.90,-0.39%,-1.43%,-5.83%,-8.71%,-9.27%,"3,472,579,798.30","624,054.42","176,826.21","118,014.61","83,215.15","62,031.67",0.00,56.26%,12.73%,43.53%,43.53%,34.61%,67.42%,8.00%,93.02%,93.02%,53.05%,10.17%,4.58%,9.44%,10.17%,4.58%,9.36%,13.25,5.96,11.98,13.25,128.33,46.18,46.18,102.67,51.08,4.76,223.83%,130.44%,31.98%,100.00%,0.99,0.79,-2.20%,-3.14%,-10.70%,-14.95%,3.34%,-0.20%,-1670.00%,52.27%,40.08,-2.32%,-3.57%,-18.23%,0.07
CEDB Holdings Limited,2025/26 Q3,"2,218.00","2,316.69",-10.00,-0.53%,5.17%,-2.25%,-1.11%,-18.81%,"22,939,378,878.00","1,034,237.06","1,627,473.62","487,109.39","485,493.26","473,558.98",0.00,99.00%,0.00%,99.00%,99.00%,97.92%,98.91%,0.00%,98.91%,98.91%,97.12%,24.51%,24.52%,31.31%,23.84%,23.86%,30.64%,61.05,61.09,67.10,61.05,257.35,36.33,36.33,36.30,33.05,8.61,1110.46%,1110.46%,2.76%,102.84%,1.23,1.45,-2.04%,-2.93%,-16.06%,-23.55%,3.58%,-0.39%,-917.95%,51.67%,53.01,-0.76%,-4.86%,-18.81%,6.25
Jeevan Bikas Laghubitta Bittya Sanstha Ltd,2025/26 Q3,"1,260.00","1,298.05",0.00,0.39%,2.36%,-4.18%,-2.24%,-2.27%,"19,355,760,900.00","1,751,235.56","2,718,627.23","3,104,575.83","1,690,345.92","626,927.76",0.00,58.14%,37.55%,0.00%,29.21%,21.29%,55.33%,26.01%,0.00%,36.06%,23.98%,19.16%,21.81%,24.33%,2.61%,2.97%,3.27%,47.73,54.33,57.76,47.73,255.24,26.39,26.39,23.18,21.81,4.93,6.68%,9.55%,86.33%,731.56%,0.95,0.74,-1.87%,-2.67%,-11.74%,-16.71%,2.78%,-0.04%,-6950.00%,43.85%,47.13,0.11%,-1.98%,-13.46%,-0.78
Sanima Reliance Life Insurance Limited,2025/26 Q3,375.00,392.66,1.90,-1.70%,-0.50%,-4.19%,-4.46%,-5.68%,"18,805,965,000.00","5,014,924.05","322,871.84","6,557,629.80","976,018.97","340,858.57",0.00,14.46%,11.99%,4.28%,3.36%,3.01%,15.35%,6.60%,5.43%,4.53%,4.19%,8.56%,4.87%,7.12%,1.55%,0.88%,1.39%,9.06,5.15,7.59,9.06,111.65,41.37,41.37,72.69,49.39,3.52,0.00%,0.00%,81.38%,537.17%,0.96,0.94,-1.77%,-2.51%,-16.04%,-23.01%,2.41%,-0.12%,-2008.33%,74.66%,39.27,-0.40%,-1.15%,-12.79%,-0.36
Mailung Khola Jal Vidhyut Company Limited,2025/26 Q3,457.00,499.23,1.30,-2.35%,2.44%,-5.93%,-10.46%,-23.46%,"1,719,781,486.00","376,319.80","17,255.01","79,260.11","71,508.21","11,556.27",0.00,86.32%,13.19%,41.01%,-24.93%,-35.34%,88.08%,8.65%,68.68%,19.38%,0.43%,3.88%,-6.17%,0.10%,2.25%,-3.58%,0.06%,4.09,-6.50,0.10,4.09,104.58,111.61,111.61,-70.23,"4,276.09",4.36,214.56%,145.47%,56.37%,170.42%,1.18,0.76,-2.53%,-3.60%,-17.93%,-25.96%,3.22%,-0.46%,-700.00%,72.45%,42.89,-3.94%,-8.69%,-26.29%,0.45
Manushi Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"1,119.00","1,305.77",-16.00,-3.37%,-2.19%,-10.84%,-22.83%,-35.29%,"1,223,906,250.00","109,375.00","45,064.29","161,459.16","79,853.88","13,174.85",0.00,50.31%,54.35%,0.00%,11.25%,7.87%,49.97%,53.74%,0.00%,11.04%,7.72%,11.51%,11.29%,11.67%,1.06%,1.04%,1.05%,16.06,15.74,15.43,16.06,141.20,69.67,69.67,71.05,72.51,7.92,3.32%,6.93%,90.84%,1091.22%,0.89,0.65,-2.55%,-3.64%,-40.86%,-59.39%,3.54%,-0.87%,-406.90%,76.52%,37.01,-7.23%,-13.71%,-36.38%,-2.68
Sahas Urja Limited,2025/26 Q4,672.00,633.13,-8.00,1.66%,4.20%,0.75%,22.63%,21.79%,"25,401,600,000.00","4,573,800.00","3,685,780.09","2,844,534.70","2,616,251.75","1,359,156.44",0.00,84.56%,-2.74%,93.39%,60.43%,34.55%,91.97%,1.25%,91.82%,69.46%,47.78%,16.63%,8.64%,17.63%,8.08%,4.19%,8.25%,29.71,15.43,29.71,29.71,180.58,22.61,22.61,43.55,22.61,3.72,1366.02%,85.92%,59.58%,207.31%,1.14,0.92,-1.90%,-2.72%,-13.19%,-19.19%,2.88%,0.36%,800.00%,32.71%,60.38,9.01%,10.04%,-2.18%,1.95
Terhathum Power Company Limited,2025/26 Q3,360.30,377.20,-2.70,0.67%,2.94%,-1.56%,-2.04%,-4.47%,"2,882,400,000.00","800,000.00","3,596.63","130,443.86","89,377.57","62,947.97",0.00,22.12%,3.95%,18.17%,17.27%,-19.35%,66.12%,3.06%,63.27%,62.74%,39.13%,10.42%,-1.59%,11.09%,7.30%,-1.11%,5.62%,10.49,-1.60,8.03,10.49,100.44,34.34,34.34,-225.16,44.84,3.58,285.17%,236.45%,34.41%,142.82%,0.97,0.57,-2.07%,-2.97%,-19.00%,-27.61%,4.39%,-0.11%,-3990.91%,42.95%,49.51,0.74%,-0.76%,-16.01%,0.91
Samling Power Company Limited,2025/26 Q3,420.00,465.62,-2.00,1.20%,0.00%,-9.46%,-21.20%,-21.59%,"2,100,000,000.00","500,000.00","33,688.87","153,109.33","132,998.20","-1,298.44",0.00,88.67%,1.93%,86.73%,48.48%,7.04%,87.01%,6.70%,80.30%,42.96%,7.04%,-0.33%,2.74%,2.72%,-0.09%,0.76%,0.74%,-0.34,2.91,2.92,-0.34,106.73,"-1,212.99","-1,212.99",143.99,143.53,3.93,70.10%,58.41%,84.35%,357.24%,1.11,1.05,-2.65%,-3.78%,-17.05%,-24.33%,3.10%,-0.47%,-659.57%,29.50%,43.89,-5.98%,-9.11%,-25.13%,1.12
Nyadi Hydropower Limited,2025/26 Q3,372.20,396.27,8.90,1.97%,-0.48%,-3.82%,-10.74%,-13.52%,"5,583,000,000.00","1,650,000.00","-510,602.00","609,770.00","388,185.00","147,778.00",0.00,59.92%,4.70%,55.69%,55.69%,18.51%,60.15%,4.90%,56.68%,56.68%,12.99%,17.54%,11.33%,9.09%,3.58%,2.31%,1.77%,11.94,7.71,5.89,11.94,69.05,31.16,31.16,48.23,63.10,5.38,143.87%,143.87%,83.43%,481.38%,1.42,1.15,-2.72%,-3.88%,-20.01%,-28.55%,4.72%,-0.28%,-1685.71%,31.83%,49.85,-0.27%,-3.54%,-18.82%,1.33
Madhya Bhotekoshi Jalavidyut Company Limited,2025/26 Q3,267.40,287.34,2.30,0.34%,-0.41%,-5.24%,-5.51%,-15.61%,"16,044,000,000.00","6,000,000.00","-318,100.35","1,429,765.01","1,301,119.82","76,741.65",0.00,93.80%,1.62%,92.19%,53.04%,2.51%,91.00%,3.28%,87.73%,51.93%,4.42%,1.80%,1.09%,1.12%,0.47%,0.29%,0.29%,1.70,1.03,1.05,1.70,94.69,156.79,156.79,258.47,254.05,2.82,83.62%,64.62%,78.04%,376.46%,1.30,1.95,-2.28%,-3.27%,-33.39%,-48.17%,3.26%,-0.33%,-987.88%,41.86%,39.87,-2.49%,-3.42%,-19.04%,-0.08
Buddha Bhumi Nepal Hydropower Company Limited,2025/26 Q4,291.00,337.41,0.00,2.57%,-3.03%,-9.91%,7.98%,-6.47%,"1,164,000,000.00","801,690.40","3,059.03","185,017.46","172,928.80","11,953.73",0.00,87.52%,25.94%,62.25%,8.24%,-29.51%,93.47%,12.91%,80.79%,49.16%,6.46%,2.09%,-7.98%,2.84%,0.86%,-3.28%,0.92%,1.49,-5.68,1.49,1.44,100.38,201.22,195.16,-51.20,195.16,2.89,762.05%,762.05%,50.74%,191.83%,0.97,0.51,-2.26%,-3.23%,-14.00%,-19.95%,4.98%,-0.13%,-3830.77%,29.59%,46.95,-8.60%,-0.07%,-23.42%,1.65
Emerging Nepal Limited,2025/26 Q3,791.00,883.23,-24.00,-1.86%,-1.14%,-10.11%,-12.11%,-24.76%,"4,394,796,000.00","555,600.00","58,762.45","22,539.00","20,821.87","17,748.44",0.00,23.56%,0.00%,23.56%,23.56%,29.72%,64.62%,0.00%,64.62%,64.62%,66.40%,3.85%,0.43%,2.48%,3.69%,0.42%,2.40%,4.25,0.48,2.71,4.25,110.57,185.71,185.71,"1,645.45",291.38,7.15,367.72%,367.72%,1.99%,102.03%,1.08,0.81,-2.45%,-3.50%,-35.18%,-51.24%,2.65%,-0.56%,-473.21%,69.08%,38.71,-8.42%,-6.24%,-26.23%,0.19
NESDO Sambridha Laghubitta Bittiye Sanstha Limited,2025/26 Q3,"1,469.00","1,544.53",-20.00,-1.74%,-0.54%,-4.61%,-1.48%,-17.19%,"4,279,747,875.00","291,337.50","546,233.00","385,835.32","213,694.41","142,216.06",0.00,53.94%,11.65%,0.00%,56.77%,39.74%,56.57%,31.92%,0.00%,78.86%,46.27%,23.35%,24.14%,32.31%,4.58%,4.73%,5.98%,65.08,67.27,85.18,65.08,287.49,22.56,22.56,21.83,17.24,5.10,-5.57%,36.02%,80.03%,500.71%,0.81,0.32,-2.00%,-2.86%,-27.58%,-39.78%,2.78%,-0.40%,-695.00%,68.64%,37.63,-1.71%,-0.35%,-18.90%,-1.17
Green Ventures Limited,2025/26 Q3,480.20,490.68,0.20,-0.89%,2.17%,-1.27%,-4.15%,-15.32%,"16,506,875,000.00","3,437,500.00","885,964.39","1,295,694.95","804,160.98","494,414.69",0.00,42.71%,2.38%,40.84%,40.84%,9.78%,60.94%,3.62%,57.55%,57.55%,31.70%,15.30%,2.57%,12.57%,6.12%,1.03%,4.73%,19.17,3.21,14.96,19.17,125.77,25.04,25.04,149.14,32.08,3.81,3182.04%,2248.02%,60.23%,249.28%,1.28,0.89,-2.21%,-3.16%,-14.60%,-21.15%,3.17%,-0.29%,-1093.10%,57.51%,46.42,1.47%,-3.60%,-19.83%,-0.42
Balephi Hydropower Limited,2025/26 Q3,210.00,218.66,-1.00,-0.24%,2.44%,-5.19%,18.58%,-3.03%,"7,677,474,000.00","3,655,940.00","-733,066.68","878,539.63","806,182.44","235,658.81",0.00,92.83%,4.90%,87.93%,54.68%,3.11%,87.92%,5.47%,89.09%,61.05%,15.14%,10.69%,1.02%,5.90%,3.69%,0.35%,1.97%,8.59,0.82,4.60,8.59,79.94,24.43,24.43,255.55,45.60,2.62,669.29%,252.90%,67.41%,291.69%,1.01,0.59,-2.12%,-3.03%,-17.38%,-25.31%,4.87%,-0.07%,-6957.14%,51.39%,45.82,-2.83%,4.28%,-18.51%,-0.05
Upakar Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"2,700.50","3,021.45",-19.70,-3.03%,-15.61%,-9.07%,-22.40%,-25.68%,"2,866,532,141.00","106,148.20","187,839.26","275,187.00","151,509.00","30,652.02",0.00,59.94%,45.72%,0.00%,23.62%,15.94%,54.82%,44.14%,0.00%,19.04%,11.65%,13.94%,22.23%,15.62%,1.27%,2.02%,1.40%,38.50,61.39,40.05,38.50,276.95,70.13,70.13,43.98,67.42,9.75,5.25%,20.39%,91.08%,1121.62%,0.81,0.69,-2.73%,-3.90%,-20.46%,-30.24%,4.18%,-0.60%,-696.67%,72.35%,42.18,-5.26%,-11.44%,-37.56%,-21.01
CYC Nepal Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"1,290.00","1,484.96",-9.00,-0.77%,-6.51%,-12.36%,-21.29%,-33.66%,"3,436,874,760.00","266,424.39","451,691.12","612,195.40","302,010.29","53,430.92",0.00,49.88%,48.23%,0.00%,10.51%,8.12%,52.53%,43.88%,0.00%,17.73%,13.13%,9.94%,9.00%,13.88%,0.97%,0.88%,1.59%,26.73,24.23,43.18,26.73,269.53,48.24,48.24,53.23,29.87,4.78,1.51%,13.50%,90.27%,1027.92%,0.55,0.82,-2.37%,-3.40%,-23.76%,-34.32%,3.19%,-0.79%,-403.80%,49.75%,38.81,-9.34%,-7.62%,-33.68%,-0.67
River Falls Power Limited,2025/26 Q3,333.20,372.72,8.10,-0.09%,-0.18%,-9.46%,-6.38%,-9.99%,"2,332,400,000.00","1,400,000.00","257,717.23","201,739.78","182,628.38","18,656.34",0.00,75.42%,8.53%,66.89%,28.43%,-35.24%,89.87%,6.66%,91.24%,67.37%,7.34%,1.49%,-3.29%,1.67%,0.89%,-1.96%,0.74%,1.77,-3.91,1.30,1.77,118.40,187.52,187.52,-85.07,255.05,2.81,1121.13%,738.86%,42.64%,168.44%,1.09,0.61,-2.23%,-3.17%,-16.20%,-23.76%,5.02%,-0.20%,-2510.00%,49.13%,43.25,-7.43%,-6.18%,-26.79%,0.43
Dordi Khola Jal Bidyut Company Limited,2025/26 Q3,254.00,274.95,0.80,0.51%,3.04%,-6.27%,-0.20%,-16.36%,"5,355,642,832.00","2,108,520.80","115,948.56","205,865.30","176,534.70","13,121.91",0.00,80.09%,9.25%,78.60%,36.09%,8.57%,83.47%,11.70%,77.96%,35.54%,-6.80%,0.79%,1.05%,-0.95%,0.49%,0.66%,-0.56%,0.82,1.10,-0.87,0.82,105.49,306.10,306.10,229.15,-288.95,2.40,1361.75%,544.34%,41.30%,164.11%,1.06,0.70,-1.97%,-2.80%,-14.67%,-21.10%,4.92%,-0.35%,-1405.71%,43.06%,45.85,-4.63%,-3.09%,-20.50%,-0.03
